dataset;alpha;random_state;KM_1;KM_2;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
mnist_3;0,95;9;0,019899999999999918;0,049000000000000044;0,10609999999999997;0,000500000000000056;0,15189999999999992;0,22529999999999994;0,0233000000000001;9,999999999998899e-05
mushroom;0,05;0;0,5491999999999999;0,05009999999999999;0,10659999999999999;0,0456;0,05;0,06079999999999999;0,059;0,0476
mushroom;0,05;1;0,7204999999999999;0,29100000000000004;0,19629999999999997;0,034600000000000006;0,05;0,0432;0,049;0,0349
mushroom;0,05;2;0,5002;0,0765;0,24180000000000001;0,021500000000000002;0,05;0,07889999999999998;0,046;0,037500000000000006
mushroom;0,05;3;0,423;0,1844;0,23770000000000002;0,014799999999999994;0,031100000000000003;0,16749999999999998;0,1396;0,0063
mushroom;0,05;4;0,6788;0,1588;0,24720000000000003;0,037200000000000004;0,05;0,0741;0,048;0,037500000000000006
mushroom;0,05;5;0,7204999999999999;0,38580000000000003;0,17020000000000002;0,024600000000000004;0,05;0,0648;0,026000000000000002;0,038700000000000005
mushroom;0,05;6;0,849;0,334;0,0402;0,0379;0,049600000000000005;0,057499999999999996;0,0402;0,0345
mushroom;0,05;7;0,46849999999999997;0,0674;0,17559999999999998;0,08120000000000001;0,05;0,1128;0,009000000000000001;0,024300000000000002
mushroom;0,05;8;0,6990999999999999;0,3284;0,15449999999999997;0,005999999999999998;0,0421;0,0914;0,08600000000000001;0,0075
mushroom;0,05;9;0,6788;0,29100000000000004;0,2846;0,0429;0,05;0,0174;0,0213;0,0403
mushroom;0,25;0;0,15239999999999998;0,066;0,047099999999999975;0,021699999999999997;0,13269999999999998;0,14500000000000002;0,066;0,002799999999999997
mushroom;0,25;1;0,22299999999999998;0,0887;0,07040000000000002;0,0058;0,15339999999999998;0,13019999999999998;0,11599999999999999;0,005400000000000016
mushroom;0,25;2;0,17120000000000002;0,09549999999999997;0,12219999999999998;0,009000000000000008;0,1285;0,11780000000000002;0,026000000000000023;0,010099999999999998
mushroom;0,25;3;0,08279999999999998;0,042700000000000016;0,067;0,0489;0,0839;0,20350000000000001;0,11599999999999999;0,02679999999999999
mushroom;0,25;4;0,2314;0,0801;0,041200000000000014;0,0006999999999999784;0,1041;0,17409999999999998;0,03699999999999998;0,004599999999999993
mushroom;0,25;5;0,2148;0,10260000000000002;0,03899999999999998;0,0032000000000000084;0,12209999999999999;0,1467;0,061;0,02689999999999998
mushroom;0,25;6;0,002700000000000008;0,036000000000000004;0,04370000000000002;9,999999999998899e-05;0,14179999999999998;0,1089;0,08100000000000002;0,006799999999999973
mushroom;0,25;7;0,1647;0,09789999999999999;0,12140000000000001;0,011099999999999999;0,12129999999999999;0,17909999999999998;0,07800000000000001;0,00839999999999999
mushroom;0,25;8;0,019500000000000017;0,013500000000000012;0,11130000000000001;0,02250000000000002;0,1172;0,15389999999999998;0,043999999999999984;0,03160000000000002
mushroom;0,25;9;0,1779;0,044399999999999995;0,027700000000000002;0,019800000000000012;0,157;0,1195;0,08800000000000002;0,022299999999999986
mushroom;0,5;0;0,07369999999999999;0,08989999999999998;0,04579999999999995;0,005199999999999982;0,1264;0,09750000000000003;0,05300000000000005;0,0031999999999999806
mushroom;0,5;1;0,027000000000000024;0,019699999999999995;0,04630000000000001;0,0020999999999999908;0,09310000000000002;0,11529999999999996;0,040000000000000036;0,00940000000000002
mushroom;0,5;2;0,008700000000000041;0,02410000000000001;0,04300000000000004;0,0017000000000000348;0,11969999999999997;0,08760000000000001;0,11099999999999999;0,0034999999999999476
mushroom;0,5;3;0,03920000000000001;0,04630000000000001;0,0514;0,02290000000000003;0,10930000000000001;0,10760000000000003;0,04800000000000004;0,01050000000000001
mushroom;0,5;4;0,027000000000000024;0,02410000000000001;0,006500000000000006;0,019000000000000017;0,09599999999999997;0,10040000000000004;0,06000000000000005;9,999999999998899e-05
mushroom;0,5;5;0,0006999999999999784;0,0010999999999999899;0,0383;0,004400000000000015;0,11020000000000002;0,09899999999999998;0,04400000000000004;0,006599999999999995
mushroom;0,5;6;0,018600000000000005;0,015199999999999991;0,03280000000000005;0,015100000000000002;0,0947;0,11099999999999999;0,18710000000000004;0,013900000000000023
mushroom;0,5;7;0,0006999999999999784;0,0010999999999999899;0,03280000000000005;0,007000000000000006;0,12190000000000001;0,09840000000000004;0,03200000000000003;0,008000000000000007
mushroom;0,5;8;0,018600000000000005;0,010599999999999998;0,04749999999999999;0,007799999999999974;0,137;0,07850000000000001;0,06499999999999995;0,011299999999999977
mushroom;0,5;9;0,05020000000000002;0,08320000000000005;0,012299999999999978;0,016900000000000026;0,10060000000000002;0,09930000000000005;0,019000000000000017;0,019899999999999973
mushroom;0,75;0;0,0009000000000000119;0,01419999999999999;0,017199999999999993;0,0039000000000000146;0,10199999999999998;0,028200000000000003;0,03200000000000003;0,0007000000000000339
mushroom;0,75;1;0,0009000000000000119;0,01419999999999999;0,012700000000000045;0,0020000000000000018;0,07699999999999996;0,036699999999999955;0,04300000000000004;0,0048000000000000265
