dataset;ds;dmu;alpha;cons_alpha;random_state;en;sigmoid_nnre;brier_nnre;dedpul;random_dedpul
laplace;1;2;0,25;0,2162;3;0,0797;0,0929;0,0476;0,0418;0,0423
laplace;1;2;0,25;0,2162;4;0,0733;0,0704;0,0653;0,0425;0,0354
laplace;1;2;0,25;0,2162;5;0,0601;0,1051;0,0524;0,0384;0,0565
laplace;1;2;0,25;0,2162;6;0,0658;0,0634;0,0669;0,0498;0,0569
laplace;1;2;0,25;0,2162;7;0,0678;0,0586;0,0406;0,0307;0,0367
laplace;1;2;0,25;0,2162;8;0,044;0,084;0,0313;0,0484;0,0497
laplace;1;2;0,25;0,2162;9;0,0421;0,0841;0,0538;0,0515;0,052
laplace;1;2;0,5;0,4323;0;0,0543;0,1059;0,0478;0,0509;0,0574
laplace;1;2;0,5;0,4323;1;0,0516;0,1102;0,0329;0,0206;0,0367
laplace;1;2;0,5;0,4323;2;0,0679;0,0976;0,0645;0,0255;0,0422
laplace;1;2;0,5;0,4323;3;0,0695;0,1086;0,0437;0,0336;0,043
laplace;1;2;0,5;0,4323;4;0,0751;0,1079;0,048;0,0321;0,0286
laplace;1;2;0,5;0,4323;5;0,0514;0,1058;0,0384;0,0404;0,0447
laplace;1;2;0,5;0,4323;6;0,0574;0,1133;0,0711;0,055;0,055
laplace;1;2;0,5;0,4323;7;0,0704;0,1043;0,0362;0,0317;0,0347
laplace;1;2;0,5;0,4323;8;0,0401;0,1128;0,042;0,0472;0,0607
laplace;1;2;0,5;0,4323;9;0,0478;0,1069;0,0427;0,0372;0,0421
laplace;1;2;0,75;0,6485;0;0,0441;0,0807;0,0361;0,0275;0,0426
laplace;1;2;0,75;0,6485;1;0,033;0,0885;0,0249;0,0159;0,025
laplace;1;2;0,75;0,6485;2;0,0571;0,0869;0,0388;0,0332;0,0237
laplace;1;2;0,75;0,6485;3;0,0439;0,0858;0,0268;0,0228;0,0258
laplace;1;2;0,75;0,6485;4;0,0525;0,0908;0,0307;0,0216;0,0264
