dataset;ds;dmu;alpha;cons_alpha;random_state;en;sigmoid_nnre;brier_nnre;dedpul;random_dedpul
normal;1;2;0,25;0,25;9;0,0478;0,0777;0,015;0,0331;0,0311
normal;1;2;0,5;0,5;0;0,0358;0,1232;0,0227;0,0578;0,069
normal;1;2;0,5;0,5;1;0,0351;0,1123;0,012;0,0271;0,0476
normal;1;2;0,5;0,5;2;0,0329;0,116;0,0479;0,0643;0,0511
normal;1;2;0,5;0,5;3;0,0423;0,1209;0,0204;0,0483;0,0401
normal;1;2;0,5;0,5;4;0,0328;0,1235;0,0145;0,0346;0,0532
normal;1;2;0,5;0,5;5;0,0233;0,1163;0,0279;0,0348;0,0664
normal;1;2;0,5;0,5;6;0,0403;0,0982;0,0156;0,0525;0,061
normal;1;2;0,5;0,5;7;0,0274;0,1157;0,0162;0,0406;0,0457
normal;1;2;0,5;0,5;8;0,0462;0,1271;0,0243;0,0554;0,0689
normal;1;2;0,5;0,5;9;0,0401;0,1217;0,0132;0,0396;0,0448
normal;1;2;0,75;0,75;0;0,0191;0,0921;0,0137;0,0271;0,0357
normal;1;2;0,75;0,75;1;0,0153;0,1003;0,0138;0,024;0,038
normal;1;2;0,75;0,75;2;0,0201;0,0993;0,0244;0,0296;0,0408
normal;1;2;0,75;0,75;3;0,0162;0,1019;0,0143;0,0211;0,0321
normal;1;2;0,75;0,75;4;0,0148;0,1033;0,0151;0,0207;0,0458
normal;1;2;0,75;0,75;5;0,0145;0,1027;0,0234;0,0382;0,034
normal;1;2;0,75;0,75;6;0,017;0,1025;0,0148;0,0342;0,0339
normal;1;2;0,75;0,75;7;0,0125;0,1075;0,0099;0,0294;0,0189
normal;1;2;0,75;0,75;8;0,0273;0,0937;0,017;0,034;0,0411
normal;1;2;0,75;0,75;9;0,014;0,1091;0,0146;0,0249;0,0312
normal;1;2;0,95;0,95;0;0,0045;0,0313;0,0078;0,0072;0,0077
normal;1;2;0,95;0,95;1;0,0039;0,0343;0,007;0,0044;0,0054
normal;1;2;0,95;0,95;2;0,0059;0,0353;0,0089;0,006;0,0078
normal;1;2;0,95;0,95;3;0,0046;0,0343;0,006;0,005;0,0068
normal;1;2;0,95;0,95;4;0,0044;0,032;0,0102;0,0097;0,008
normal;1;2;0,95;0,95;5;0,0039;0,0365;0,0088;0,009;0,0084
normal;1;2;0,95;0,95;6;0,0035;0,0311;0,0085;0,0071;0,0063
normal;1;2;0,95;0,95;7;0,0047;0,0376;0,0079;0,0084;0,0086
normal;1;2;0,95;0,95;8;0,0041;0,0318;0,0101;0,0097;0,0122
normal;1;2;0,95;0,95;9;0,0039;0,0345;0,0054;0,0066;0,0075
normal;1;4;0,05;0,05;0;0,0426;0,0266;0,0401;0,0333;0,0374
normal;1;4;0,05;0,05;1;0,0591;0,0286;0,0468;0,0253;0,0378
normal;1;4;0,05;0,05;2;0,0439;0,0486;0,0498;0,0066;0,0062
normal;1;4;0,05;0,05;3;0,0644;0,0285;0,0412;0,0217;0,0239
normal;1;4;0,05;0,05;4;0,0504;0,0428;0,0334;0,0157;0,0259
normal;1;4;0,05;0,05;5;0,0442;0,0436;0,0329;0,0107;0,013
normal;1;4;0,05;0,05;6;0,0558;0,0385;0,0395;0,0164;0,0249
normal;1;4;0,05;0,05;7;0,0423;0,0403;0,0299;0,0096;0,0171
normal;1;4;0,05;0,05;8;0,0593;0,0307;0,048;0,0336;0,0374
normal;1;4;0,05;0,05;9;0,0511;0,0245;0,0274;0,0135;0,0177
normal;1;4;0,25;0,25;0;0,0441;0,0127;0,0258;0,0267;0,0359
normal;1;4;0,25;0,25;1;0,0633;0,0211;0,0397;0,0258;0,0277
normal;1;4;0,25;0,25;2;0,0485;0,0071;0,0308;0,009;0,0104
normal;1;4;0,25;0,25;3;0,0666;0,005;0,0322;0,0189;0,0683
normal;1;4;0,25;0,25;4;0,0438;0,0066;0,024;0,0186;0,0525
normal;1;4;0,25;0,25;5;0,0436;0,0109;0,0169;0,0117;0,018
normal;1;4;0,25;0,25;6;0,0535;0,0106;0,0275;0,0169;0,0176
normal;1;4;0,25;0,25;7;0,0446;0,0071;0,0253;0,0129;0,0183
normal;1;4;0,25;0,25;8;0,0582;0,0188;0,0322;0,0225;0,0219
normal;1;4;0,25;0,25;9;0,0551;0,0042;0,0247;0,0091;0,0162
normal;1;4;0,5;0,5;0;0,0279;0,013;0,0172;0,0146;0,0147
normal;1;4;0,5;0,5;1;0,0406;0,0136;0,0231;0,0132;0,0131
normal;1;4;0,5;0,5;2;0,0349;0,0075;0,0252;0,0099;0,009
normal;1;4;0,5;0,5;3;0,0459;0,0119;0,0261;0,0102;0,03
normal;1;4;0,5;0,5;4;0,0285;0,0073;0,0204;0,0124;0,0139
normal;1;4;0,5;0,5;5;0,0261;0,0122;0,0082;0,0125;0,0238
normal;1;4;0,5;0,5;6;0,0367;0,0102;0,0167;0,0111;0,0136
normal;1;4;0,5;0,5;7;0,0355;0,0153;0,0183;0,0122;0,0115
normal;1;4;0,5;0,5;8;0,0416;0,0132;0,0193;0,0137;0,0155
normal;1;4;0,5;0,5;9;0,0403;0,0062;0,0297;0,0157;0,0117
normal;1;4;0,75;0,75;0;0,0172;0,0098;0,0075;0,0077;0,0095
normal;1;4;0,75;0,75;1;0,0219;0,0121;0,016;0,008;0,0093
normal;1;4;0,75;0,75;2;0,0196;0,0083;0,0152;0,0068;0,0111
normal;1;4;0,75;0,75;3;0,023;0,0132;0,0148;0,0064;0,008
normal;1;4;0,75;0,75;4;0,0145;0,0077;0,0157;0,0076;0,0128
normal;1;4;0,75;0,75;5;0,0155;0,0098;0,0097;0,0108;0,0116
normal;1;4;0,75;0,75;6;0,0198;0,0082;0,008;0,0089;0,0097
normal;1;4;0,75;0,75;7;0,0182;0,0114;0,0084;0,0072;0,0072
normal;1;4;0,75;0,75;8;0,0202;0,0095;0,0092;0,0078;0,0128
normal;1;4;0,75;0,75;9;0,0205;0,0106;0,0184;0,008;0,0119
normal;1;4;0,95;0,95;0;0,0041;0,0051;0,0061;0,0036;0,0049
normal;1;4;0,95;0,95;1;0,0058;0,0048;0,0076;0,0029;0,0029
normal;1;4;0,95;0,95;2;0,0041;0,0042;0,0089;0,0027;0,0032
normal;1;4;0,95;0,95;3;0,0039;0,0047;0,0075;0,0031;0,0041
normal;1;4;0,95;0,95;4;0,0019;0,0036;0,0096;0,0033;0,0028
normal;1;4;0,95;0,95;5;0,0025;0,0043;0,009;0,0036;0,0035
normal;1;4;0,95;0,95;6;0,0041;0,0039;0,0094;0,0031;0,0024
normal;1;4;0,95;0,95;7;0,0039;0,0044;0,0067;0,0023;0,0027
normal;1;4;0,95;0,95;8;0,0034;0,0032;0,0065;0,0025;0,0032
normal;1;4;0,95;0,95;9;0,0054;0,0072;0,0092;0,0054;0,0049
normal;2;0;0,05;0,025;0;0,0339;0,0219;0,0532;0,0425;0,0439
normal;2;0;0,05;0,025;1;0,0344;0,0249;0,0562;0,0347;0,0335
normal;2;0;0,05;0,025;2;0,0453;0,0248;0,0577;0,0222;0,0255
normal;2;0;0,05;0,025;3;0,0312;0,0237;0,0478;0,0227;0,0272
normal;2;0;0,05;0,025;4;0,0359;0,0222;0,0443;0,0212;0,0229
normal;2;0;0,05;0,025;5;0,0356;0,0247;0,0542;0,0229;0,0228
normal;2;0;0,05;0,025;6;0,0271;0,0225;0,0375;0,0242;0,0293
normal;2;0;0,05;0,025;7;0,0206;0,0248;0,0381;0,0233;0,0227
normal;2;0;0,05;0,025;8;0,0407;0,0267;0,0503;0,0381;0,0439
normal;2;0;0,05;0,025;9;0,0304;0,0253;0,0435;0,023;0,027
normal;2;0;0,25;0,125;0;0,0503;0,1004;0,044;0,0607;0,0695
normal;2;0;0,25;0,125;1;0,0557;0,0942;0,0488;0,0584;0,055
normal;2;0;0,25;0,125;2;0,06;0,1226;0,0657;0,0531;0,0557
normal;2;0;0,25;0,125;3;0,0556;0,1069;0,0394;0,0396;0,0518
normal;2;0;0,25;0,125;4;0,0516;0,1117;0,0572;0,0411;0,037
normal;2;0;0,25;0,125;5;0,0542;0,1253;0,0392;0,0517;0,0513
normal;2;0;0,25;0,125;6;0,0578;0,108;0,0473;0,0578;0,0585
normal;2;0;0,25;0,125;7;0,046;0,1197;0,0389;0,0493;0,0567
normal;2;0;0,25;0,125;8;0,0609;0,095;0,047;0,0511;0,0503
normal;2;0;0,25;0,125;9;0,0527;0,1179;0,0424;0,0392;0,0572
normal;2;0;0,5;0,25;0;0,0539;0,0968;0,0429;0,0694;0,0828
normal;2;0;0,5;0,25;1;0,0563;0,0867;0,046;0,0606;0,0627
normal;2;0;0,5;0,25;2;0,0555;0,1565;0,0587;0,0674;0,0573
normal;2;0;0,5;0,25;3;0,057;0,0851;0,0399;0,0304;0,0502
normal;2;0;0,5;0,25;4;0,0553;0,1049;0,0419;0,0518;0,0647
normal;2;0;0,5;0,25;5;0,0481;0,1255;0,0416;0,0459;0,0443
normal;2;0;0,5;0,25;6;0,06;0,0866;0,0495;0,0766;0,0794
normal;2;0;0,5;0,25;7;0,0484;0,0786;0,0342;0,0449;0,0664
normal;2;0;0,5;0,25;8;0,0611;0,074;0,0393;0,0526;0,0548
normal;2;0;0,5;0,25;9;0,0537;0,1032;0,0337;0,0367;0,0415
normal;2;0;0,75;0,375;0;0,0506;0,1143;0,0427;0,0708;0,0582
normal;2;0;0,75;0,375;1;0,0494;0,105;0,0463;0,058;0,06
normal;2;0;0,75;0,375;2;0,0471;0,0818;0,0514;0,0614;0,0499
normal;2;0;0,75;0,375;3;0,0514;0,101;0,0427;0,0358;0,0279
normal;2;0;0,75;0,375;4;0,049;0,1056;0,0389;0,0418;0,0474
normal;2;0;0,75;0,375;5;0,0427;0,1084;0,0459;0,0495;0,0604
normal;2;0;0,75;0,375;6;0,0569;0,1172;0,0555;0,0819;0,0736
normal;2;0;0,75;0,375;7;0,0446;0,1053;0,0337;0,0571;0,0878
normal;2;0;0,75;0,375;8;0,0578;0,1033;0,0417;0,0645;0,0618
normal;2;0;0,75;0,375;9;0,0494;0,0919;0,0361;0,0393;0,0455
normal;2;0;0,95;0,475;0;0,0432;0,1218;0,0447;0,0515;0,0681
normal;2;0;0,95;0,475;1;0,0413;0,1167;0,0439;0,0545;0,0461
normal;2;0;0,95;0,475;2;0,0378;0,1021;0,0419;0,0664;0,0576
normal;2;0;0,95;0,475;3;0,0415;0,1127;0,0359;0,0301;0,0467
normal;2;0;0,95;0,475;4;0,0397;0,1202;0,0311;0,0445;0,0461
normal;2;0;0,95;0,475;5;0,0383;0,1145;0,0405;0,0389;0,0442
normal;2;0;0,95;0,475;6;0,0501;0,1277;0,0534;0,0658;0,0624
normal;2;0;0,95;0,475;7;0,0357;0,1194;0,0398;0,0451;0,0771
normal;2;0;0,95;0,475;8;0,046;0,1132;0,0435;0,0598;0,0666
normal;2;0;0,95;0,475;9;0,0355;0,0946;0,0331;0,0341;0,0332
normal;4;0;0,05;0,0375;0;0,044;0,0325;0,0559;0,0308;0,0354
normal;4;0;0,05;0,0375;1;0,0513;0,0365;0,0587;0,0336;0,041
normal;4;0;0,05;0,0375;2;0,0522;0,0383;0,0702;0,0238;0,0256
normal;4;0;0,05;0,0375;3;0,0532;0,0371;0,0512;0,0277;0,031
normal;4;0;0,05;0,0375;4;0,0387;0,0368;0,0567;0,0226;0,0254
normal;4;0;0,05;0,0375;5;0,0426;0,0377;0,0579;0,0138;0,0153
normal;4;0;0,05;0,0375;6;0,0437;0,0348;0,0544;0,0264;0,0382
normal;4;0;0,05;0,0375;7;0,0401;0,0367;0,0506;0,0107;0,017
normal;4;0;0,05;0,0375;8;0,0558;0,0384;0,0571;0,0298;0,0285
normal;4;0;0,05;0,0375;9;0,0404;0,0355;0,0485;0,0204;0,0227
normal;4;0;0,25;0,1875;0;0,0605;0,0494;0,0368;0,0504;0,0553
normal;4;0;0,25;0,1875;1;0,0641;0,0323;0,0431;0,0379;0,0454
normal;4;0;0,25;0,1875;2;0,0517;0,0836;0,0467;0,0458;0,0447
normal;4;0;0,25;0,1875;3;0,0671;0,0469;0,0469;0,0305;0,0497
normal;4;0;0,25;0,1875;4;0,0623;0,0635;0,0393;0,0373;0,0329
normal;4;0;0,25;0,1875;5;0,0611;0,0588;0,0266;0,0325;0,0342
normal;4;0;0,25;0,1875;6;0,0597;0,0546;0,042;0,0437;0,0534
normal;4;0;0,25;0,1875;7;0,0589;0,066;0,0422;0,045;0,0412
normal;4;0;0,25;0,1875;8;0,0739;0,0489;0,0484;0,0405;0,051
normal;4;0;0,25;0,1875;9;0,0679;0,0494;0,0378;0,0272;0,0269
normal;4;0;0,5;0,375;0;0,0517;0,063;0,0353;0,0545;0,0513
normal;4;0;0,5;0,375;1;0,0503;0,0529;0,0308;0,0371;0,0408
normal;4;0;0,5;0,375;2;0,0489;0,0579;0,0462;0,0488;0,0595
normal;4;0;0,5;0,375;3;0,0624;0,0579;0,0369;0,0338;0,0483
normal;4;0;0,5;0,375;4;0,0508;0,0499;0,0243;0,0378;0,0438
normal;4;0;0,5;0,375;5;0,0391;0,0666;0,03;0,0572;0,0612
normal;4;0;0,5;0,375;6;0,0569;0,067;0,0395;0,0596;0,0424
normal;4;0;0,5;0,375;7;0,0563;0,0514;0,0329;0,0388;0,0531
normal;4;0;0,5;0,375;8;0,0638;0,0558;0,0377;0,0417;0,0361
normal;4;0;0,5;0,375;9;0,0582;0,0554;0,0379;0,0309;0,0295
normal;4;0;0,75;0,5625;0;0,0424;0,0743;0,0339;0,0381;0,0406
normal;4;0;0,75;0,5625;1;0,0445;0,0658;0,0313;0,0285;0,0305
normal;4;0;0,75;0,5625;2;0,037;0,0608;0,0352;0,0445;0,0351
normal;4;0;0,75;0,5625;3;0,0494;0,0658;0,0339;0,0283;0,0375
normal;4;0;0,75;0,5625;4;0,0407;0,0647;0,025;0,0317;0,0351
normal;4;0;0,75;0,5625;5;0,0363;0,072;0,0304;0,0433;0,0393
normal;4;0;0,75;0,5625;6;0,0425;0,0752;0,0359;0,0544;0,0356
normal;4;0;0,75;0,5625;7;0,0429;0,0708;0,0235;0,0273;0,0332
normal;4;0;0,75;0,5625;8;0,0496;0,0672;0,0337;0,037;0,0294
normal;4;0;0,75;0,5625;9;0,0414;0,0624;0,0301;0,0281;0,0351
normal;4;0;0,95;0,7125;0;0,0315;0,0719;0,0294;0,0423;0,0543
normal;4;0;0,95;0,7125;1;0,0281;0,0657;0,0209;0,0214;0,0243
normal;4;0;0,95;0,7125;2;0,0246;0,0633;0,0251;0,0349;0,0326
normal;4;0;0,95;0,7125;3;0,0335;0,077;0,0304;0,0284;0,0257
normal;4;0;0,95;0,7125;4;0,0264;0,0682;0,021;0,0236;0,0282
normal;4;0;0,95;0,7125;5;0,0223;0,0644;0,0245;0,0277;0,0355
normal;4;0;0,95;0,7125;6;0,0298;0,0702;0,0291;0,0433;0,0428
normal;4;0;0,95;0,7125;7;0,0277;0,0648;0,0204;0,0231;0,0281
normal;4;0;0,95;0,7125;8;0,0341;0,0672;0,027;0,0336;0,037
normal;4;0;0,95;0,7125;9;0,0245;0,0664;0,0229;0,023;0,0321
