dataset;alpha;random_state;en;sigmoid_nnre;brier_nnre;dedpul;random_dedpul
bank;0,05;0;0,05149999999999999;0,049799999999999955;0,04720000000000002;0,05120000000000002;0,0595
bank;0,05;1;0,048799999999999955;0,04800000000000004;0,04720000000000002;0,049799999999999955;0,05049999999999999
bank;0,05;2;0,053200000000000025;0,04720000000000002;0,04749999999999999;0,05400000000000005;0,05349999999999999
bank;0,05;3;0,05149999999999999;0,04720000000000002;0,04620000000000002;0,050000000000000044;0,05120000000000002
bank;0,05;4;0,051000000000000045;0,044499999999999984;0,04579999999999995;0,053200000000000025;0,057499999999999996
bank;0,05;5;0,04620000000000002;0,04479999999999995;0,04500000000000004;0,04620000000000002;0,04620000000000002
bank;0,05;6;0,049000000000000044;0,04800000000000004;0,04800000000000004;0,04920000000000002;0,04920000000000002
bank;0,05;7;0,05600000000000005;0,04949999999999999;0,05279999999999996;0,06120000000000003;0,06279999999999997
bank;0,05;8;0,050000000000000044;0,050000000000000044;0,04820000000000002;0,05120000000000002;0,05379999999999996
bank;0,05;9;0,05120000000000002;0,049799999999999955;0,04679999999999995;0,05049999999999999;0,051000000000000045
bank;0,25;0;0,1995;0,19579999999999997;0,19099999999999995;0,19899999999999995;0,20099999999999996
bank;0,25;1;0,20220000000000005;0,19079999999999997;0,1815;0,19579999999999997;0,1965
bank;0,25;2;0,1965;0,1885;0,18700000000000006;0,19699999999999995;0,1955
bank;0,25;3;0,20599999999999996;0,19620000000000004;0,18979999999999997;0,2025;0,20079999999999998
bank;0,25;4;0,19320000000000004;0,18879999999999997;0,1845;0,19179999999999997;0,19299999999999995
bank;0,25;5;0,1925;0,18799999999999994;0,18520000000000003;0,19099999999999995;0,19099999999999995
bank;0,25;6;0,20020000000000004;0,1955;0,18579999999999997;0,20379999999999998;0,20020000000000004
bank;0,25;7;0,2015;0,1885;0,1905;0,19699999999999995;0,19799999999999995
bank;0,25;8;0,19379999999999997;0,19279999999999997;0,18079999999999996;0,18820000000000003;0,19099999999999995
bank;0,25;9;0,20079999999999998;0,19599999999999995;0,17979999999999996;0,20299999999999996;0,20020000000000004
bank;0,5;0;0,23399999999999999;0,242;0,23050000000000004;0,23419999999999996;0,23850000000000005
bank;0,5;1;0,23950000000000005;0,24880000000000002;0,24119999999999997;0,23750000000000004;0,238
bank;0,5;2;0,23650000000000004;0,24319999999999997;0,2378;0,23650000000000004;0,23719999999999997
bank;0,5;3;0,23650000000000004;0,24180000000000001;0,23519999999999996;0,23719999999999997;0,244
bank;0,5;4;0,2512;0,273;0,24650000000000005;0,2512;0,249
bank;0,5;5;0,22819999999999996;0,255;0,23519999999999996;0,22650000000000003;0,255
bank;0,5;6;0,23650000000000004;0,26849999999999996;0,23319999999999996;0,23419999999999996;0,235
bank;0,5;7;0,23850000000000005;0,30900000000000005;0,23319999999999996;0,24;0,2388
bank;0,5;8;0,236;0,24250000000000005;0,23550000000000004;0,23719999999999997;0,23750000000000004
bank;0,5;9;0,24219999999999997;0,31379999999999997;0,2388;0,24719999999999998;0,24450000000000005
bank;0,75;0;0,19479999999999997;0,25;0,1775;0,17900000000000005;0,18179999999999996
bank;0,75;1;0,19599999999999995;0,25;0,1845;0,1805;0,18020000000000003
bank;0,75;2;0,19399999999999995;0,25;0,17720000000000002;0,1825;0,18220000000000003
bank;0,75;3;0,19420000000000004;0,25;0,18879999999999997;0,19079999999999997;0,1945
bank;0,75;4;0,19799999999999995;0,25;0,18979999999999997;0,1895;0,1895
bank;0,75;5;0,1975;0,25;0,18679999999999997;0,18479999999999996;0,1855
bank;0,75;6;0,18979999999999997;0,25;0,18200000000000005;0,1865;0,18400000000000005
bank;0,75;7;0,19899999999999995;0,25;0,1885;0,18020000000000003;0,17900000000000005
